,MEMORY,REWARD,COGNITIVE,MOVEMENT,VISION,HEARING
left_frontal_pole,0.0,0.0,1.0,0.0,0.0,0.0
left_insular_cortex,0.0,0.0,1.0,0.0,0.0,0.0
left_superior_frontal_gyrus,0.0,0.0,0.0,0.0,1.0,0.0
left_middle_frontal_gyrus,0.0,0.0,0.0,0.0,1.0,0.0
left_inferior_frontal_gyrus_pars_triangularis,0.0,0.0,1.0,0.0,0.0,0.0
left_inferior_frontal_gyrus_pars_opercularis,0.0,0.0,0.0,0.0,1.0,0.0
left_precentral_gyrus,0.0,0.0,0.0,0.0,1.0,0.0
left_temporal_pole,0.0,0.0,0.0,0.0,0.0,1.0
left_superior_temporal_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.0,1.0
left_superior_temporal_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.0,1.0
left_middle_temporal_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.0,1.0
left_middle_temporal_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.0,1.0
left_middle_temporal_gyrus_temporooccipital_part,0.0,0.0,0.0,0.0,1.0,0.0
left_inferior_temporal_gyrus_anterior_division,1.0,0.0,0.0,0.0,0.0,0.0
left_inferior_temporal_gyrus_posterior_division,1.0,0.0,0.0,0.0,0.0,0.0
left_inferior_temporal_gyrus_temporooccipital_part,0.0,0.0,0.0,0.0,1.0,0.0
left_postcentral_gyrus,0.0,0.0,0.0,0.0,1.0,0.0
left_superior_parietal_lobule,0.0,0.0,0.0,0.0,1.0,0.0
left_supramarginal_gyrus_anterior_division,0.0,0.0,0.0,0.0,1.0,0.0
left_supramarginal_gyrus_posterior_division,0.0,0.0,0.0,0.0,1.0,0.0
left_angular_gyrus,0.0,0.0,0.0,0.0,1.0,0.0
left_lateral_occipital_cortex_superior_division,0.0,0.0,0.0,0.0,1.0,0.0
left_lateral_occipital_cortex_inferior_division,0.0,0.0,0.0,0.0,1.0,0.0
left_intracalcarine_cortex,0.0,0.0,0.0,0.0,1.0,0.0
left_frontal_medial_cortex,0.0,1.0,0.0,0.0,0.0,0.0
left_supplementary_motor_cortex,0.0,0.0,0.0,0.0,1.0,0.0
left_subcallosal_cortex,0.0,1.0,0.0,0.0,0.0,0.0
left_paracingulate_gyrus,0.0,0.0,1.0,0.0,0.0,0.0
left_cingulate_gyrus_anterior_division,0.0,0.0,1.0,0.0,0.0,0.0
left_cingulate_gyrus_posterior_division,0.0,0.0,1.0,0.0,0.0,0.0
left_precuneous_cortex,0.0,0.0,0.0,0.0,1.0,0.0
left_cuneal_cortex,0.0,0.0,0.0,0.0,1.0,0.0
left_frontal_orbital_cortex,0.0,0.0,1.0,0.0,0.0,0.0
left_parahippocampal_gyrus_anterior_division,1.0,0.0,0.0,0.0,0.0,0.0
left_parahippocampal_gyrus_posterior_division,1.0,0.0,0.0,0.0,0.0,0.0
left_lingual_gyrus,0.0,0.0,0.0,0.0,1.0,0.0
left_temporal_fusiform_cortex_anterior_division,1.0,0.0,0.0,0.0,0.0,0.0
left_temporal_fusiform_cortex_posterior_division,1.0,0.0,0.0,0.0,0.0,0.0
left_temporal_occipital_fusiform_cortex,0.0,0.0,0.0,0.0,1.0,0.0
left_occipital_fusiform_gyrus,0.0,0.0,0.0,0.0,1.0,0.0
left_frontal_operculum_cortex,0.0,0.0,1.0,0.0,0.0,0.0
left_central_opercular_cortex,0.0,0.0,0.0,0.0,0.0,1.0
left_parietal_operculum_cortex,0.0,0.0,0.0,0.0,0.0,1.0
left_planum_polare,0.0,0.0,0.0,0.0,0.0,1.0
left_heschls_gyrus,0.0,0.0,0.0,0.0,0.0,1.0
left_planum_temporale,0.0,0.0,0.0,0.0,0.0,1.0
left_supracalcarine_cortex,0.0,0.0,0.0,0.0,1.0,0.0
left_occipital_pole,0.0,0.0,0.0,0.0,1.0,0.0
left_thalamus,0.0,0.0,1.0,0.0,0.0,0.0
left_caudate,0.0,0.0,1.0,0.0,0.0,0.0
left_putamen,0.0,0.0,1.0,0.0,0.0,0.0
left_pallidum,0.0,0.0,1.0,0.0,0.0,0.0
left_hippocampus,1.0,0.0,0.0,0.0,0.0,0.0
left_amygdala,1.0,0.0,0.0,0.0,0.0,0.0
left_accumbens,0.0,1.0,0.0,0.0,0.0,0.0
left_brainstem,1.0,0.0,0.0,0.0,0.0,0.0
left_iiv,0.0,0.0,0.0,1.0,0.0,0.0
left_v,0.0,0.0,0.0,0.0,1.0,0.0
left_vi,0.0,0.0,0.0,0.0,1.0,0.0
left_viib,0.0,0.0,0.0,1.0,0.0,0.0
left_viiia,0.0,0.0,0.0,1.0,0.0,0.0
left_viiib,0.0,0.0,0.0,1.0,0.0,0.0
left_ix,0.0,0.0,0.0,1.0,0.0,0.0
left_x,0.0,0.0,0.0,1.0,0.0,0.0
left_crus_i,0.0,0.0,0.0,0.0,1.0,0.0
left_crus_ii,0.0,0.0,0.0,1.0,0.0,0.0
left_vermis_crus_i,0.0,0.0,0.0,1.0,0.0,0.0
left_vermis_crus_ii,0.0,0.0,0.0,1.0,0.0,0.0
left_vermis_vi,0.0,0.0,0.0,1.0,0.0,0.0
left_vermis_viib,0.0,0.0,0.0,1.0,0.0,0.0
left_vermis_viiia,0.0,0.0,0.0,1.0,0.0,0.0
left_vermis_viiib,0.0,0.0,0.0,1.0,0.0,0.0
left_vermis_ix,0.0,0.0,0.0,1.0,0.0,0.0
left_vermis_x,0.0,0.0,0.0,1.0,0.0,0.0
right_frontal_pole,0.0,0.0,1.0,0.0,0.0,0.0
right_insular_cortex,0.0,0.0,1.0,0.0,0.0,0.0
right_superior_frontal_gyrus,0.0,0.0,1.0,0.0,0.0,0.0
right_middle_frontal_gyrus,0.0,0.0,0.0,0.0,1.0,0.0
right_inferior_frontal_gyrus_pars_triangularis,0.0,0.0,1.0,0.0,0.0,0.0
right_inferior_frontal_gyrus_pars_opercularis,0.0,0.0,0.0,0.0,1.0,0.0
right_precentral_gyrus,0.0,0.0,0.0,0.0,1.0,0.0
right_temporal_pole,0.0,0.0,1.0,0.0,0.0,0.0
right_superior_temporal_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.0,1.0
right_superior_temporal_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.0,1.0
right_middle_temporal_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.0,1.0
right_middle_temporal_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.0,1.0
