DOMAIN,CLUSTER,STRUCTURE
HEARING,1,left_central_opercular_cortex
HEARING,1,left_heschls_gyrus
HEARING,1,left_parietal_operculum_cortex
HEARING,1,left_planum_polare
HEARING,1,left_planum_temporale
HEARING,1,right_central_opercular_cortex
HEARING,1,right_heschls_gyrus
HEARING,1,right_parietal_operculum_cortex
HEARING,1,right_planum_polare
HEARING,1,right_planum_temporale
VISION,2,left_cuneal_cortex
VISION,2,left_inferior_temporal_gyrus_posterior_division
VISION,2,left_inferior_temporal_gyrus_temporooccipital_part
VISION,2,left_intracalcarine_cortex
VISION,2,left_lateral_occipital_cortex_inferior_division
VISION,2,left_lingual_gyrus
VISION,2,left_middle_temporal_gyrus_temporooccipital_part
VISION,2,left_occipital_fusiform_gyrus
VISION,2,left_occipital_pole
VISION,2,left_supracalcarine_cortex
VISION,2,left_temporal_fusiform_cortex_posterior_division
VISION,2,left_temporal_occipital_fusiform_cortex
VISION,2,right_cuneal_cortex
VISION,2,right_inferior_temporal_gyrus_temporooccipital_part
VISION,2,right_intracalcarine_cortex
VISION,2,right_lateral_occipital_cortex_inferior_division
VISION,2,right_lingual_gyrus
VISION,2,right_middle_temporal_gyrus_temporooccipital_part
VISION,2,right_occipital_fusiform_gyrus
VISION,2,right_occipital_pole
VISION,2,right_supracalcarine_cortex
VISION,2,right_temporal_occipital_fusiform_cortex
EXECUTION,3,left_crus_i
EXECUTION,3,left_crus_ii
EXECUTION,3,left_iiv
EXECUTION,3,left_v
EXECUTION,3,left_vi
EXECUTION,3,left_viib
EXECUTION,3,right_crus_i
EXECUTION,3,right_crus_ii
EXECUTION,3,right_iiv
EXECUTION,3,right_v
EXECUTION,3,right_vi
EXECUTION,3,right_viib
COGNITIVE,4,left_cingulate_gyrus_anterior_division
COGNITIVE,4,left_cingulate_gyrus_posterior_division
COGNITIVE,4,left_frontal_medial_cortex
COGNITIVE,4,left_frontal_operculum_cortex
COGNITIVE,4,left_frontal_orbital_cortex
COGNITIVE,4,left_frontal_pole
COGNITIVE,4,left_insular_cortex
COGNITIVE,4,left_paracingulate_gyrus
COGNITIVE,4,left_thalamus
COGNITIVE,4,right_brainstem
COGNITIVE,4,right_cingulate_gyrus_anterior_division
COGNITIVE,4,right_cingulate_gyrus_posterior_division
COGNITIVE,4,right_frontal_medial_cortex
COGNITIVE,4,right_frontal_operculum_cortex
COGNITIVE,4,right_frontal_orbital_cortex
COGNITIVE,4,right_frontal_pole
COGNITIVE,4,right_inferior_frontal_gyrus_pars_triangularis
COGNITIVE,4,right_insular_cortex
COGNITIVE,4,right_paracingulate_gyrus
COGNITIVE,4,right_temporal_pole
COGNITIVE,4,right_thalamus
LANGUAGE,5,left_inferior_temporal_gyrus_anterior_division
LANGUAGE,5,left_middle_temporal_gyrus_anterior_division
LANGUAGE,5,left_middle_temporal_gyrus_posterior_division
LANGUAGE,5,left_superior_temporal_gyrus_anterior_division
LANGUAGE,5,left_superior_temporal_gyrus_posterior_division
LANGUAGE,5,left_temporal_pole
LANGUAGE,5,right_middle_temporal_gyrus_anterior_division
LANGUAGE,5,right_middle_temporal_gyrus_posterior_division
LANGUAGE,5,right_superior_temporal_gyrus_anterior_division
LANGUAGE,5,right_superior_temporal_gyrus_posterior_division
REST,6,left_ix
REST,6,left_viiia
REST,6,left_viiib
REST,6,left_x
REST,6,right_ix
REST,6,right_vermis_ix
REST,6,right_vermis_viiib
REST,6,right_vermis_x
REST,6,right_viiia
REST,6,right_viiib
REST,6,right_x
MANIPULATION,7,left_angular_gyrus
MANIPULATION,7,left_inferior_frontal_gyrus_pars_opercularis
MANIPULATION,7,left_inferior_frontal_gyrus_pars_triangularis
MANIPULATION,7,left_lateral_occipital_cortex_superior_division
MANIPULATION,7,left_middle_frontal_gyrus
MANIPULATION,7,left_postcentral_gyrus
MANIPULATION,7,left_precentral_gyrus
MANIPULATION,7,left_precuneous_cortex
MANIPULATION,7,left_superior_frontal_gyrus
MANIPULATION,7,left_superior_parietal_lobule
MANIPULATION,7,left_supplementary_motor_cortex
MANIPULATION,7,left_supramarginal_gyrus_anterior_division
MANIPULATION,7,left_supramarginal_gyrus_posterior_division
MANIPULATION,7,right_angular_gyrus
MANIPULATION,7,right_inferior_frontal_gyrus_pars_opercularis
MANIPULATION,7,right_lateral_occipital_cortex_superior_division
MANIPULATION,7,right_middle_frontal_gyrus
MANIPULATION,7,right_postcentral_gyrus
MANIPULATION,7,right_precentral_gyrus
MANIPULATION,7,right_precuneous_cortex
MANIPULATION,7,right_superior_frontal_gyrus
MANIPULATION,7,right_superior_parietal_lobule
MANIPULATION,7,right_supplementary_motor_cortex
MANIPULATION,7,right_supramarginal_gyrus_anterior_division
MANIPULATION,7,right_supramarginal_gyrus_posterior_division
EMOTION,8,left_amygdala
EMOTION,8,left_hippocampus
EMOTION,8,left_parahippocampal_gyrus_anterior_division
EMOTION,8,right_amygdala
EMOTION,8,right_hippocampus
EMOTION,8,right_parahippocampal_gyrus_anterior_division
VESTIBULAR,9,left_vermis_ix
VESTIBULAR,9,left_vermis_viib
VESTIBULAR,9,left_vermis_viiia
VESTIBULAR,9,left_vermis_viiib
VESTIBULAR,9,left_vermis_x
MOVEMENT,10,left_vermis_crus_i
MOVEMENT,10,left_vermis_crus_ii
MOVEMENT,10,left_vermis_vi
MOVEMENT,10,right_vermis_crus_i
MOVEMENT,10,right_vermis_crus_ii
MOVEMENT,10,right_vermis_vi
MOVEMENT,10,right_vermis_viib
MOVEMENT,10,right_vermis_viiia
REWARD,11,left_accumbens
REWARD,11,left_brainstem
REWARD,11,left_caudate
REWARD,11,left_pallidum
REWARD,11,left_putamen
REWARD,11,left_subcallosal_cortex
REWARD,11,right_accumbens
REWARD,11,right_caudate
REWARD,11,right_pallidum
REWARD,11,right_putamen
REWARD,11,right_subcallosal_cortex
MEMORY,12,left_parahippocampal_gyrus_posterior_division
MEMORY,12,left_temporal_fusiform_cortex_anterior_division
MEMORY,12,right_inferior_temporal_gyrus_anterior_division
MEMORY,12,right_inferior_temporal_gyrus_posterior_division
MEMORY,12,right_parahippocampal_gyrus_posterior_division
MEMORY,12,right_temporal_fusiform_cortex_anterior_division
MEMORY,12,right_temporal_fusiform_cortex_posterior_division
