STRUCTURE,CLUSTER
left_frontal_operculum_cortex,1
left_frontal_orbital_cortex,1
left_insular_cortex,1
right_frontal_operculum_cortex,1
right_frontal_orbital_cortex,1
right_inferior_frontal_gyrus_pars_opercularis,1
right_inferior_frontal_gyrus_pars_triangularis,1
right_insular_cortex,1
right_inferior_temporal_gyrus_temporooccipital_part,2
right_lateral_occipital_cortex_inferior_division,2
right_middle_temporal_gyrus_temporooccipital_part,2
right_temporal_occipital_fusiform_cortex,2
left_angular_gyrus,3
left_lateral_occipital_cortex_superior_division,3
left_postcentral_gyrus,3
left_precentral_gyrus,3
left_superior_parietal_lobule,3
left_supramarginal_gyrus_anterior_division,3
left_supramarginal_gyrus_posterior_division,3
right_angular_gyrus,3
right_lateral_occipital_cortex_superior_division,3
right_postcentral_gyrus,3
right_precentral_gyrus,3
right_superior_parietal_lobule,3
right_supramarginal_gyrus_posterior_division,3
right_amygdala,4
right_parahippocampal_gyrus_anterior_division,4
left_accumbens,5
right_accumbens,5
left_cingulate_gyrus_anterior_division,6
left_frontal_pole,6
left_inferior_frontal_gyrus_pars_opercularis,6
left_inferior_frontal_gyrus_pars_triangularis,6
left_middle_frontal_gyrus,6
left_paracingulate_gyrus,6
left_superior_frontal_gyrus,6
left_supplementary_motor_cortex,6
right_cingulate_gyrus_anterior_division,6
right_frontal_pole,6
right_middle_frontal_gyrus,6
right_paracingulate_gyrus,6
right_superior_frontal_gyrus,6
right_supplementary_motor_cortex,6
left_inferior_temporal_gyrus_anterior_division,7
left_temporal_fusiform_cortex_anterior_division,7
left_inferior_temporal_gyrus_temporooccipital_part,8
left_lateral_occipital_cortex_inferior_division,8
left_middle_temporal_gyrus_temporooccipital_part,8
left_occipital_fusiform_gyrus,8
left_temporal_fusiform_cortex_posterior_division,8
left_temporal_occipital_fusiform_cortex,8
right_inferior_temporal_gyrus_posterior_division,9
right_parahippocampal_gyrus_posterior_division,9
right_temporal_fusiform_cortex_anterior_division,9
right_temporal_fusiform_cortex_posterior_division,9
left_amygdala,10
left_hippocampus,10
left_parahippocampal_gyrus_anterior_division,10
left_parahippocampal_gyrus_posterior_division,10
right_hippocampus,10
left_planum_polare,11
right_heschls_gyrus,11
right_planum_polare,11
left_cingulate_gyrus_posterior_division,12
left_cuneal_cortex,12
left_precuneous_cortex,12
right_cingulate_gyrus_posterior_division,12
right_cuneal_cortex,12
right_precuneous_cortex,12
right_supracalcarine_cortex,12
left_caudate,13
right_caudate,13
left_inferior_temporal_gyrus_posterior_division,14
left_middle_temporal_gyrus_anterior_division,14
left_middle_temporal_gyrus_posterior_division,14
left_superior_temporal_gyrus_anterior_division,14
left_superior_temporal_gyrus_posterior_division,14
left_brainstem,15
right_brainstem,15
left_subcallosal_cortex,16
right_subcallosal_cortex,16
left_cerebellar_crus,17
left_cerebellar_lobules,17
left_cerebellar_vermis,17
right_cerebellar_crus,17
right_cerebellar_lobules,17
right_cerebellar_vermis,17
left_central_opercular_cortex,18
left_heschls_gyrus,18
left_parietal_operculum_cortex,18
left_planum_temporale,18
right_central_opercular_cortex,18
right_parietal_operculum_cortex,18
right_planum_temporale,18
right_superior_temporal_gyrus_posterior_division,18
right_supramarginal_gyrus_anterior_division,18
right_inferior_temporal_gyrus_anterior_division,19
right_middle_temporal_gyrus_anterior_division,19
right_middle_temporal_gyrus_posterior_division,19
right_superior_temporal_gyrus_anterior_division,19
left_intracalcarine_cortex,20
left_lingual_gyrus,20
left_occipital_pole,20
left_supracalcarine_cortex,20
right_intracalcarine_cortex,20
right_lingual_gyrus,20
right_occipital_fusiform_gyrus,20
right_occipital_pole,20
left_pallidum,21
left_putamen,21
right_pallidum,21
right_putamen,21
left_frontal_medial_cortex,22
right_frontal_medial_cortex,22
left_thalamus,23
right_thalamus,23
left_temporal_pole,24
right_temporal_pole,24
