STRUCTURE,CLUSTER
left_ix,1
left_vermis_ix,1
left_vermis_x,1
left_viiib,1
left_x,1
right_ix,1
right_vermis_x,1
right_x,1
left_amygdala,2
left_hippocampus,2
left_inferior_temporal_gyrus_anterior_division,2
left_parahippocampal_gyrus_anterior_division,2
left_parahippocampal_gyrus_posterior_division,2
left_temporal_fusiform_cortex_anterior_division,2
right_amygdala,2
right_hippocampus,2
right_inferior_temporal_gyrus_anterior_division,2
right_inferior_temporal_gyrus_posterior_division,2
right_parahippocampal_gyrus_anterior_division,2
right_parahippocampal_gyrus_posterior_division,2
right_temporal_fusiform_cortex_anterior_division,2
right_temporal_fusiform_cortex_posterior_division,2
left_angular_gyrus,3
left_central_opercular_cortex,3
left_cingulate_gyrus_anterior_division,3
left_cingulate_gyrus_posterior_division,3
left_inferior_frontal_gyrus_pars_opercularis,3
left_lateral_occipital_cortex_superior_division,3
left_middle_frontal_gyrus,3
left_postcentral_gyrus,3
left_precentral_gyrus,3
left_precuneous_cortex,3
left_superior_frontal_gyrus,3
left_superior_parietal_lobule,3
left_supplementary_motor_cortex,3
left_supramarginal_gyrus_anterior_division,3
left_supramarginal_gyrus_posterior_division,3
left_thalamus,3
right_angular_gyrus,3
right_central_opercular_cortex,3
right_cingulate_gyrus_anterior_division,3
right_cingulate_gyrus_posterior_division,3
right_cuneal_cortex,3
right_inferior_frontal_gyrus_pars_opercularis,3
right_lateral_occipital_cortex_superior_division,3
right_middle_frontal_gyrus,3
right_paracingulate_gyrus,3
right_parietal_operculum_cortex,3
right_postcentral_gyrus,3
right_precentral_gyrus,3
right_precuneous_cortex,3
right_superior_frontal_gyrus,3
right_superior_parietal_lobule,3
right_supplementary_motor_cortex,3
right_supramarginal_gyrus_anterior_division,3
right_supramarginal_gyrus_posterior_division,3
right_thalamus,3
left_accumbens,4
left_caudate,4
left_pallidum,4
left_putamen,4
right_accumbens,4
right_caudate,4
right_pallidum,4
right_putamen,4
left_viib,5
left_viiia,5
right_crus_ii,5
right_viib,5
right_viiia,5
right_viiib,5
right_vermis_ix,6
right_vermis_viiia,6
right_vermis_viiib,6
left_heschls_gyrus,7
left_middle_temporal_gyrus_anterior_division,7
left_middle_temporal_gyrus_posterior_division,7
left_parietal_operculum_cortex,7
left_planum_polare,7
left_planum_temporale,7
left_superior_temporal_gyrus_anterior_division,7
left_superior_temporal_gyrus_posterior_division,7
right_heschls_gyrus,7
right_middle_temporal_gyrus_anterior_division,7
right_middle_temporal_gyrus_posterior_division,7
right_planum_polare,7
right_planum_temporale,7
right_superior_temporal_gyrus_anterior_division,7
right_superior_temporal_gyrus_posterior_division,7
left_vermis_crus_i,8
left_vermis_crus_ii,8
left_vermis_vi,8
left_vermis_viib,9
left_vermis_viiia,9
left_vermis_viiib,9
right_vermis_crus_i,10
right_vermis_crus_ii,10
right_vermis_viib,10
left_frontal_medial_cortex,11
left_subcallosal_cortex,11
right_frontal_medial_cortex,11
right_subcallosal_cortex,11
left_cuneal_cortex,12
left_inferior_temporal_gyrus_posterior_division,12
left_inferior_temporal_gyrus_temporooccipital_part,12
left_intracalcarine_cortex,12
left_lateral_occipital_cortex_inferior_division,12
left_lingual_gyrus,12
left_middle_temporal_gyrus_temporooccipital_part,12
left_occipital_fusiform_gyrus,12
left_occipital_pole,12
left_supracalcarine_cortex,12
left_temporal_fusiform_cortex_posterior_division,12
left_temporal_occipital_fusiform_cortex,12
right_inferior_temporal_gyrus_temporooccipital_part,12
right_intracalcarine_cortex,12
right_lateral_occipital_cortex_inferior_division,12
right_lingual_gyrus,12
right_middle_temporal_gyrus_temporooccipital_part,12
right_occipital_fusiform_gyrus,12
right_occipital_pole,12
right_supracalcarine_cortex,12
right_temporal_occipital_fusiform_cortex,12
left_brainstem,13
left_iiv,13
right_brainstem,13
right_iiv,13
left_frontal_operculum_cortex,14
left_frontal_orbital_cortex,14
left_frontal_pole,14
left_inferior_frontal_gyrus_pars_triangularis,14
left_insular_cortex,14
left_paracingulate_gyrus,14
left_temporal_pole,14
right_frontal_operculum_cortex,14
right_frontal_orbital_cortex,14
right_frontal_pole,14
right_inferior_frontal_gyrus_pars_triangularis,14
right_insular_cortex,14
right_temporal_pole,14
left_crus_i,15
left_crus_ii,15
left_v,15
left_vi,15
right_crus_i,15
right_v,15
right_vermis_vi,15
right_vi,15
