CLUSTER,TOKEN,R
1,memory,0.18579057628917975
1,episodic_memory,0.16528695294479162
1,emotion,0.1638336566478168
1,declarative_memory,0.16073428938141152
1,remembering,0.15546154271808765
1,fear,0.15475203119627323
1,recognition_memory,0.1508091264393415
1,valence,0.14648728440333325
1,emotional_memory,0.14025749270541524
1,autobiographical_memory,0.1378205194607055
1,arousal,0.1342326112164465
1,facial_expression,0.12939830788742027
1,encoding,0.12927879928953512
1,episodic_simulation,0.126860886003596
1,recall,0.1266286610695655
1,recognition,0.1261922290013213
1,retrieval,0.12543170644342885
1,picture,0.1222773365312248
1,source_memory,0.11862450887016326
1,memory_process,0.118090063020302
1,face,0.11075946033415068
1,encoding_task,0.1106325501646
1,negative_emotion,0.10777081307961502
1,emotional_expression,0.10627443616514134
1,familiarity,0.10529027151527928
2,recognition,0.14784553175873508
2,face_perception,0.14776418230308105
2,familiarity,0.13963674528340472
2,vision,0.13616896494396197
2,object_recognition,0.1348711656214491
2,retrieval,0.13375043754949656
2,visual_perception,0.12232781607421694
2,memory,0.11951591871385636
2,remembering,0.11662269702768699
2,word,0.11592843463089687
2,visual_attention,0.11532509243287975
2,picture,0.11455921944896069
2,visual_object,0.1137174439736639
2,visual_angle,0.11064102635374529
2,recognition_memory,0.10908896936492116
2,reading,0.10885952454179348
2,semantic_processing,0.10710928793538796
2,encoding,0.10708358534458044
2,visual_imagery,0.10667376050060953
2,naming,0.10615801280096095
2,face,0.10585200176766354
2,covert,0.10269983361717472
2,eye,0.10087063018870152
2,shape,0.10010779481508614
2,judgment,0.09973944830233221
3,speech,0.2444698356098195
3,hearing,0.233483462832249
3,listening,0.22908117368184078
3,speech_perception,0.21774505291778723
3,speech_processing,0.21614500031374387
3,tone,0.17187046447311444
3,language,0.17052291978914969
3,music,0.16360059643176145
3,syllable,0.15807353495382143
3,passive_listening,0.1579617447540989
3,language_processing,0.15569467449990096
3,speech_production,0.15277227700335422
3,melody,0.1517938175743384
3,auditory_perception,0.14735304683628508
3,prosody,0.1419305914974726
3,intonation,0.1334214556886325
3,audition,0.1250666689968726
3,pitch_discrimination,0.12309819608120043
3,language_comprehension,0.12272267058205816
3,articulation,0.11319263218919406
3,semantic_processing,0.1126019635992456
3,word,0.11129761435656307
3,phonetics,0.10939884160463097
3,syntax,0.10883218839155909
3,semantics,0.10588378324174377
4,execution,0.13079307088777403
4,monitoring,0.12974569801312325
4,working_memory,0.12917001585349802
4,manipulation,0.12752017398819512
4,reaction_time,0.12344708480347016
4,strategy,0.11807908250305686
4,rehearsal,0.11728834629416984
4,cognitive_process,0.11012379241466747
4,response_selection,0.10953235851469473
4,goal,0.10390449176613561
4,attention,0.10072850483414998
4,cognitive_control,0.10070758659219417
4,covert,0.10066857528091547
4,retrieval,0.09760285619780656
4,action,0.09252993140609599
4,task_set,0.09090814384851462
4,preparation,0.0902313823258876
4,imagination,0.08946266708915038
4,cognitive,0.08803412184914727
4,maintenance,0.08657525933091426
4,context,0.08636619032115156
4,motor_control,0.08577649687598624
4,memory,0.0851710369195052
4,hand,0.08487433626509319
4,intention,0.08478988322524567
5,reward,0.2872570639336378
5,reward_processing,0.23122866273953468
5,reward_anticipation,0.22594694348306477
5,anticipation,0.18959594415020395
5,monetary_incentive_delay_task,0.1882390544649352
5,instrumental_conditioning,0.14984105654528865
5,reward_learning,0.13944570505058768
5,feedback,0.13525732084082925
5,reinforcement_learning,0.13355719805871813
5,expectancy,0.12882358684091383
5,decision_making,0.12128655892834131
5,loss_anticipation,0.11565715300854887
5,addiction,0.11492891616510947
5,gambling,0.10907267030711124
5,taste,0.10718168394076556
5,loss,0.10662837647721023
5,wanting,0.10505134276896527
5,impulsivity,0.10315870864182952
5,salience,0.10010495278975087
5,habit_learning,0.0966685132447396
5,valence,0.0935776627596572
5,learning,0.09268041211201944
5,instrumental_learning,0.09022813990719249
5,loss_aversion,0.0895380342206385
5,anhedonia,0.08589642293585234
