ORDER,CLUSTER,DOMAIN,TOKEN,R,ROC_AUC
1,5,MEMORY,memory,0.19305690471098708,0.6529476720642811
1,5,MEMORY,episodic_memory,0.16902637658184186,0.6529476720642811
1,5,MEMORY,declarative_memory,0.16525775672865886,0.6529476720642811
1,5,MEMORY,recognition_memory,0.16061167764940648,0.6529476720642811
1,5,MEMORY,remembering,0.1575572259559967,0.6529476720642811
1,5,MEMORY,emotion,0.14571273958405362,0.6529476720642811
1,5,MEMORY,recognition,0.14548535199392842,0.6529476720642811
1,5,MEMORY,retrieval,0.14305198396262025,0.6529476720642811
1,5,MEMORY,fear,0.14042580585614722,0.6529476720642811
1,5,MEMORY,encoding,0.13867173681178313,0.6529476720642811
1,5,MEMORY,emotional_memory,0.1367534437387493,0.6529476720642811
1,5,MEMORY,picture,0.13489906970511267,0.6529476720642811
1,5,MEMORY,recall,0.12894139943605046,0.6529476720642811
1,5,MEMORY,facial_expression,0.12556821527581286,0.6529476720642811
1,5,MEMORY,source_memory,0.1251381662877043,0.6529476720642811
1,5,MEMORY,familiarity,0.12491607259828592,0.6529476720642811
1,5,MEMORY,valence,0.12320815756181536,0.6529476720642811
1,5,MEMORY,autobiographical_memory,0.12253931288674845,0.6529476720642811
1,5,MEMORY,face,0.12042774669659305,0.6529476720642811
1,5,MEMORY,episodic_simulation,0.120133213040513,0.6529476720642811
1,5,MEMORY,memory_process,0.11946169628640638,0.6529476720642811
1,5,MEMORY,encoding_task,0.1193897740186856,0.6529476720642811
1,5,MEMORY,arousal,0.11558450425615265,0.6529476720642811
1,5,MEMORY,forgetting,0.11142240193901726,0.6529476720642811
1,5,MEMORY,semantic_memory,0.10413480418085028,0.6529476720642811
2,4,REWARD,reward,0.26953599060380995,0.6388413999462901
2,4,REWARD,reward_processing,0.215336201614851,0.6388413999462901
2,4,REWARD,reward_anticipation,0.20080234679984016,0.6388413999462901
2,4,REWARD,anticipation,0.1494180807277698,0.6388413999462901
2,4,REWARD,decision_making,0.14845487577147048,0.6388413999462901
2,4,REWARD,reward_learning,0.13825570969598616,0.6388413999462901
2,4,REWARD,valence,0.1359051973742492,0.6388413999462901
2,4,REWARD,monetary_incentive_delay_task,0.1298176553374385,0.6388413999462901
2,4,REWARD,expectancy,0.12017851703474135,0.6388413999462901
2,4,REWARD,instrumental_conditioning,0.11651807358660154,0.6388413999462901
2,4,REWARD,salience,0.11447419395654393,0.6388413999462901
2,4,REWARD,addiction,0.11220312202008996,0.6388413999462901
2,4,REWARD,arousal,0.10925371869111836,0.6388413999462901
2,4,REWARD,reinforcement_learning,0.10548212015684116,0.6388413999462901
2,4,REWARD,taste,0.1037012081727628,0.6388413999462901
2,4,REWARD,gambling,0.10269616751062713,0.6388413999462901
2,4,REWARD,intertemporal_choice,0.10189711584111956,0.6388413999462901
2,4,REWARD,loss,0.09990564331151472,0.6388413999462901
2,4,REWARD,loss_aversion,0.09626718464503936,0.6388413999462901
2,4,REWARD,loss_anticipation,0.09364790549047132,0.6388413999462901
3,6,COGNITIVE,reward,0.13135267415165064,0.6102005999742882
3,6,COGNITIVE,anticipation,0.12797356492063658,0.6102005999742882
3,6,COGNITIVE,monitoring,0.12394997287126674,0.6102005999742882
3,6,COGNITIVE,arousal,0.11658770599790234,0.6102005999742882
3,6,COGNITIVE,decision_making,0.11346974145725315,0.6102005999742882
3,6,COGNITIVE,cognitive_control,0.10312569916788702,0.6102005999742882
3,6,COGNITIVE,reaction_time,0.10125474305318977,0.6102005999742882
3,6,COGNITIVE,reward_processing,0.10088431817179784,0.6102005999742882
3,6,COGNITIVE,error_detection,0.09769281417891626,0.6102005999742882
3,6,COGNITIVE,valence,0.09754760205486576,0.6102005999742882
3,6,COGNITIVE,expectancy,0.09613550741258184,0.6102005999742882
3,6,COGNITIVE,salience,0.09374981977042876,0.6102005999742882
