DOMAIN,CLUSTER,TOKEN,R
HEARING,1,hearing,0.20648641119913985
HEARING,1,listening,0.19448911166526564
HEARING,1,speech,0.19405172554904354
HEARING,1,speech_perception,0.17442842305383882
HEARING,1,speech_processing,0.17030074954268296
HEARING,1,tone,0.16509580556813094
HEARING,1,music,0.15123659179943758
HEARING,1,melody,0.14422933202069518
HEARING,1,passive_listening,0.14110546191105475
HEARING,1,auditory_perception,0.13271181575222185
HEARING,1,speech_production,0.12442935047181428
HEARING,1,audition,0.12370150767906245
HEARING,1,syllable,0.1166461341853012
HEARING,1,painful_stimulation,0.11152259930512808
HEARING,1,intonation,0.10944352571288654
HEARING,1,pain,0.1091503243058924
HEARING,1,prosody,0.10741121472954313
HEARING,1,pitch_discrimination,0.10518490270743464
VISION,2,recognition,0.14784553175873508
VISION,2,face_perception,0.14776418230308105
VISION,2,familiarity,0.13963674528340472
VISION,2,vision,0.13616896494396194
VISION,2,object_recognition,0.1348711656214491
VISION,2,retrieval,0.13375043754949656
VISION,2,visual_perception,0.12232781607421694
VISION,2,memory,0.11951591871385635
VISION,2,remembering,0.116622697027687
VISION,2,word,0.11592843463089687
VISION,2,visual_attention,0.11532509243287975
VISION,2,picture,0.11455921944896068
VISION,2,visual_object,0.1137174439736639
VISION,2,visual_angle,0.11064102635374527
VISION,2,recognition_memory,0.10908896936492116
VISION,2,reading,0.10885952454179347
VISION,2,semantic_processing,0.10710928793538796
VISION,2,encoding,0.10708358534458044
VISION,2,visual_imagery,0.10667376050060952
VISION,2,naming,0.10615801280096096
EXECUTION,3,motor_control,0.15570261875656016
EXECUTION,3,movement,0.13272752231270796
EXECUTION,3,motor_learning,0.12450805083763715
EXECUTION,3,execution,0.12041997961614698
EXECUTION,3,coordination,0.09955260447004588
EXECUTION,3,motor_sequence_learning,0.0969920494743292
EXECUTION,3,arm,0.09460301370576236
EXECUTION,3,hand,0.08558095978935369
EXECUTION,3,ataxia,0.08349788748119029
COGNITIVE,4,arousal,0.12966601149022608
COGNITIVE,4,monitoring,0.12717472351606215
COGNITIVE,4,anticipation,0.11453282067920685
COGNITIVE,4,decision_making,0.11257109977940233
COGNITIVE,4,reward,0.10809348989456204
COGNITIVE,4,valence,0.1077573533990487
COGNITIVE,4,salience,0.09786048908782384
COGNITIVE,4,cognitive_control,0.09765112341370764
COGNITIVE,4,error_detection,0.0957758962230939
COGNITIVE,4,pain,0.09325700472940213
COGNITIVE,4,autobiographical_memory,0.09144951037079453
COGNITIVE,4,reaction_time,0.09110205834408468
COGNITIVE,4,emotion,0.09036344262174184
COGNITIVE,4,cognitive_process,0.09004043811835205
COGNITIVE,4,expectancy,0.08888028743183146
COGNITIVE,4,strategy,0.08843313854272407
COGNITIVE,4,context,0.0868709111575687
COGNITIVE,4,cognitive,0.08548167721079243
COGNITIVE,4,remembering,0.08538739090636198
COGNITIVE,4,decision,0.08530245790075691
COGNITIVE,4,goal,0.08479616645517801
COGNITIVE,4,interoception,0.08321728506105458
COGNITIVE,4,retrieval,0.08189785057143327
COGNITIVE,4,response_selection,0.08182881522005213
LANGUAGE,5,speech,0.2458385142274364
LANGUAGE,5,speech_processing,0.218987795744512
LANGUAGE,5,speech_perception,0.2177214433509234
LANGUAGE,5,listening,0.21476012528046545
LANGUAGE,5,language,0.21377113488804092
LANGUAGE,5,hearing,0.20999903841105894
LANGUAGE,5,language_processing,0.2002847389872725
LANGUAGE,5,syllable,0.17077887704472086
LANGUAGE,5,semantic_processing,0.17007319443339652
LANGUAGE,5,language_comprehension,0.16247052606595236
LANGUAGE,5,word,0.15622758551078658
LANGUAGE,5,semantics,0.15251614191923807
LANGUAGE,5,speech_production,0.15004313108226924
LANGUAGE,5,sentence_processing,0.14700032209129985
LANGUAGE,5,prosody,0.14320728132350785
LANGUAGE,5,passive_listening,0.1391074099951653
LANGUAGE,5,tone,0.1378052907390609
LANGUAGE,5,syntax,0.13755901818535268
LANGUAGE,5,music,0.1371459307743508
LANGUAGE,5,sentence_comprehension,0.13578989213167866
LANGUAGE,5,auditory_perception,0.13344241496566822
LANGUAGE,5,meaning,0.1332375517554686
LANGUAGE,5,intonation,0.12763095633793595
LANGUAGE,5,theory_mind,0.12757489621170132
REST,6,motor_control,0.082030651176624
REST,6,ataxia,0.08035803411707243
REST,6,recitationrepetition,0.07042460221599704
REST,6,tone_monitordiscrimination,0.07042460221599704
REST,6,motor_learning,0.06866791657350133
REST,6,movement,0.0645154609379456
REST,6,coordination,0.06150453363027695
REST,6,rest,0.06105621273900135
REST,6,foot,0.059279546197850676
REST,6,capsaicinevoked_pain,0.0577697300939685
REST,6,arm,0.05692543505407256
REST,6,vection,0.05392036599665728
REST,6,episodic_future_thinking,0.050100240603115305
REST,6,tapping_task,0.04937140160370242
REST,6,execution,0.04903167252798213
REST,6,articulatory_rehearsal,0.04670818592744483
REST,6,motor_sequence_learning,0.045851353320932084
REST,6,leg,0.044950752306153086
REST,6,vestibular,0.04486347685545489
REST,6,episodic_simulation,0.04433516722385277
REST,6,imagination,0.04238423824355207
REST,6,music_production,0.041378219894183665
REST,6,visual_pursuit,0.04121877898560113
REST,6,episodic_buffer,0.04013495138678731
REST,6,respiration,0.03993986971733683
MANIPULATION,7,execution,0.17352208969204352
MANIPULATION,7,working_memory,0.1506214439863477
MANIPULATION,7,manipulation,0.14388093983248268
MANIPULATION,7,hand,0.13962695390146398
MANIPULATION,7,rehearsal,0.1297362275196469
MANIPULATION,7,attention,0.12645040661770254
MANIPULATION,7,reaction_time,0.1258822945937801
MANIPULATION,7,action,0.12442453844037896
MANIPULATION,7,spatial_attention,0.12315045652409153
MANIPULATION,7,movement,0.1207071682341666
MANIPULATION,7,strategy,0.1186181598094737
MANIPULATION,7,covert,0.11808253344898725
MANIPULATION,7,monitoring,0.11670914702760404
MANIPULATION,7,grasping,0.11504659410904905
MANIPULATION,7,representation,0.11483912235549545
MANIPULATION,7,response_selection,0.11467799117042528
EMOTION,8,fear,0.2253748149966777
EMOTION,8,emotion,0.22490248573023908
EMOTION,8,facial_expression,0.19289377893059487
EMOTION,8,valence,0.19162499208763167
EMOTION,8,arousal,0.17379363811189552
EMOTION,8,memory,0.16396216012350553
EMOTION,8,emotional_memory,0.15742458328789266
EMOTION,8,face,0.15691201703696347
EMOTION,8,declarative_memory,0.15152256637722095
VESTIBULAR,9,autonomic_nervous_system_function,0.07730192645962644
VESTIBULAR,9,vection,0.0745157915867633
VESTIBULAR,9,vestibular,0.06171944303295573
VESTIBULAR,9,vestibular_stimulation,0.05819483126783241
VESTIBULAR,9,smile_response,0.05457911156839415
MOVEMENT,10,motor_control,0.08794772444584542
MOVEMENT,10,fluency_induction,0.08681153051728455
MOVEMENT,10,motor_learning,0.07697052777607835
MOVEMENT,10,movement,0.07566056978057345
MOVEMENT,10,execution,0.07041160079979929
REWARD,11,reward,0.28294704575516905
REWARD,11,reward_processing,0.2258066261728656
REWARD,11,reward_anticipation,0.22142899961500226
REWARD,11,anticipation,0.1904283989498391
REWARD,11,monetary_incentive_delay_task,0.1848451103469408
REWARD,11,instrumental_conditioning,0.1444770091725621
REWARD,11,reward_learning,0.1357386281694546
MEMORY,12,memory,0.1885689396414354
MEMORY,12,episodic_memory,0.16883465580444973
MEMORY,12,declarative_memory,0.15741492887475655
MEMORY,12,recognition_memory,0.1513812553042299
MEMORY,12,remembering,0.14787632051590388
MEMORY,12,retrieval,0.14619444842903567
MEMORY,12,encoding,0.13256266000666778
MEMORY,12,recognition,0.129305320834272
MEMORY,12,recall,0.12368326112258173
MEMORY,12,autobiographical_memory,0.11737419991185336
MEMORY,12,episodic_simulation,0.11690099073417674
MEMORY,12,spatial_memory,0.11683806153667205
MEMORY,12,familiarity,0.11555339943799298
MEMORY,12,semantic_memory,0.11310896499484972
MEMORY,12,source_memory,0.11300106620663306
MEMORY,12,encoding_task,0.11054537306501548
MEMORY,12,memory_process,0.11010869469294636
MEMORY,12,cognitive_map,0.10610689715200748
MEMORY,12,remote_memory,0.104271893100234
